City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,mazar-e sharif,36.709,67.1109,12.66,37,37,1.16,AF,1707795590
157,fortuna,40.5982,-124.1573,11.19,93,100,0.0,US,1707795330
158,susuman,62.7833,148.1667,-36.68,97,85,0.45,RU,1707795591
159,baskale,38.0453,44.0172,-2.75,42,100,1.74,TR,1707795591
160,nabire,-3.3667,135.4833,28.63,78,40,1.61,ID,1707795592
161,mungwi,-10.1732,31.3694,17.29,99,100,1.64,ZM,1707795593
162,marka,1.7159,44.7717,25.56,87,76,4.7,SO,1707795593
163,klyuchi,52.2667,79.1667,-11.95,79,100,4.89,RU,1707795594
164,iskateley,67.6803,53.1512,-32.77,100,15,2.24,RU,1707795594
165,fort mcmurray,56.7268,-111.381,-0.23,64,75,7.2,CA,1707795595
166,basco,20.4487,121.9702,21.91,67,76,8.63,PH,1707795596
167,raniganj,23.6167,87.1333,19.91,77,75,0.0,IN,1707795596
168,saint-philippe,-21.3585,55.7679,25.77,82,76,4.44,RE,1707795597
169,happy valley-goose bay,53.3168,-60.3315,-6.83,93,100,2.57,CA,1707795597
170,kil,59.5072,13.314,-4.06,93,75,3.09,SE,1707795598
171,oranjemund,-28.55,16.4333,17.55,94,67,3.53,NA,1707795598
172,limanowa,49.7059,20.422,6.39,92,97,3.53,PL,1707795599
173,rundu,-17.9333,19.7667,21.08,71,53,1.67,NA,1707795600
174,patti,31.2808,74.8572,9.04,31,66,1.42,IN,1707795600
175,ilulissat,69.2167,-51.1,-24.99,58,40,1.54,GL,1707795601
176,ancud,-41.8697,-73.8203,10.34,74,68,2.12,CL,1707795601
177,atafu village,-8.5421,-172.5159,27.51,86,100,11.81,TK,1707795602
178,howard springs,-12.497,131.047,25.95,88,100,5.02,AU,1707795603
179,tadine,-21.55,167.8833,27.65,77,21,9.44,NC,1707795603
180,mont-dore,-22.2833,166.5833,29.99,99,68,6.14,NC,1707795604
181,otacilio costa,-27.4831,-50.1219,19.77,94,100,1.14,BR,1707795605
182,badger,64.8,-147.5333,-5.36,89,75,3.6,US,1707795606
183,senanga,-16.1167,23.2667,20.4,80,80,2.16,ZM,1707795607
184,tokar,18.4254,37.729,20.87,79,0,1.36,SD,1707795607
185,vadso,70.0744,29.7487,-8.91,79,40,5.66,NO,1707795608
186,santo nino,6.435,124.6975,29.75,58,87,1.39,PH,1707795609
187,saipan,15.1355,145.701,30.39,51,0,10.8,MP,1707795609
188,aasiaat,68.7098,-52.8699,-29.8,97,57,3.12,GL,1707795610
189,ribeira grande,38.5167,-28.7,17.1,88,72,10.28,PT,1707795611
190,moab,38.5733,-109.5498,0.03,46,84,0.48,US,1707795510
191,fazendas de almeirim,39.1755,-8.5693,16.55,99,100,0.89,PT,1707795612
192,colonia,50.9333,6.95,4.93,89,40,1.03,DE,1707795464
193,codrington,-38.2667,141.9667,25.56,44,24,11.02,AU,1707795613
194,mugia,43.1041,-9.2179,15.51,97,91,10.03,ES,1707795615
195,trenggalek,-8.05,111.7167,32.03,59,28,1.43,ID,1707795619
196,tabas,33.5959,56.9244,8.12,36,1,1.03,IR,1707795621
197,thetford-mines,46.0937,-71.3054,-5.94,99,81,0.09,CA,1707795622
198,chernyshevsk,52.5243,117.0174,-8.82,50,0,2.98,RU,1707795622
199,shahr-e kord,32.3256,50.8644,-7.13,73,0,1.03,IR,1707795623
200,rio grande,-32.035,-52.0986,22.75,91,100,5.0,BR,1707795624
201,jatiroto,-7.8833,111.1167,29.66,65,20,2.68,ID,1707795625
202,el granada,37.5027,-122.4694,12.94,83,75,6.69,US,1707795626
203,ban dung,17.699,103.2596,30.56,100,100,2.09,TH,1707795627
204,kingston,17.997,-76.7936,26.53,85,20,8.75,JM,1707795621
205,lata,40.1629,-8.3327,13.37,97,100,1.81,PT,1707795628
206,la isla,18.6,-96.15,19.19,69,100,3.71,MX,1707795628
207,santa cruz,-17.8,-63.1667,24.7,100,75,5.14,BO,1707795629
208,bel ombre,-4.6167,55.4167,28.91,74,40,3.6,SC,1707795629
209,griffith,41.5284,-87.4237,3.96,96,0,0.0,US,1707795630
210,hasaki,35.7333,140.8333,15.22,52,2,11.45,JP,1707795631
211,rustaq,23.3908,57.4244,18.43,85,94,1.1,OM,1707795632
212,sao miguel do araguaia,-13.275,-50.1628,23.78,81,51,1.71,BR,1707795633
213,bikenibeu village,1.3673,173.1241,27.98,89,75,5.14,KI,1707795633
214,nanao,37.05,136.9667,16.11,61,0,6.14,JP,1707795634
215,isangel,-19.55,169.2667,29.06,89,75,5.14,VU,1707795635
216,hobyo,5.3505,48.5268,26.44,80,46,6.82,SO,1707795636
217,paramonga,-10.6667,-77.8333,23.73,82,25,4.53,PE,1707795637
218,bredasdorp,-34.5322,20.0403,17.95,96,77,2.62,ZA,1707795637
219,rio do sul,-27.2142,-49.6431,25.77,82,83,0.81,BR,1707795638
220,crane,31.3974,-102.3501,9.77,32,0,2.68,US,1707795639
221,gadzhiyevo,69.2551,33.3362,-20.68,100,76,5.27,RU,1707795639
222,jamestown,42.097,-79.2353,-1.1,83,0,4.63,US,1707795417
223,belmonte,-15.8631,-38.8828,25.32,89,35,2.84,BR,1707795640
224,hamilton,39.1834,-84.5333,6.47,68,100,6.17,US,1707795355
225,jokioinen,60.8016,23.48,-4.26,55,73,6.42,FI,1707795641
226,santa cruz del sur,20.7147,-77.9956,24.0,84,0,2.92,CU,1707795642
227,champerico,14.3,-91.9167,23.96,71,7,1.71,GT,1707795642
228,orkney,-26.9802,26.6727,18.69,48,1,3.33,ZA,1707795643
229,roma,43.2128,-75.4557,0.53,90,59,1.21,US,1707795364
230,huarmey,-10.0681,-78.1522,24.57,80,38,3.19,PE,1707795644
231,shevchenkove,49.6959,37.1735,4.78,86,86,2.46,UA,1707795645
232,vodnyy,63.5046,53.4095,-19.77,97,100,3.73,RU,1707795645
233,al jawf,29.5,38.75,11.66,59,100,4.24,SA,1707795646
234,yibin,28.7667,104.6238,18.91,46,25,0.3,CN,1707795646
235,khandyga,62.6667,135.6,-18.21,89,100,2.52,RU,1707795647
236,afonso bezerra,-5.4983,-36.5056,26.29,74,25,3.8,BR,1707795647
237,timaru,-44.4,171.25,20.6,71,40,3.13,NZ,1707795648
238,rawson,-43.3002,-65.1023,13.98,45,3,3.91,AR,1707795648
239,north bend,43.4065,-124.2243,8.84,93,0,4.12,US,1707795649
240,tenenkou,14.4572,-4.9169,24.69,9,76,4.17,ML,1707795650
241,greenville,35.6127,-77.3663,15.09,97,100,2.06,US,1707795518
242,trancas,-26.2314,-65.2803,19.61,98,100,5.08,AR,1707795651
243,afaahiti,-17.75,-149.2833,26.93,90,100,12.96,PF,1707795649
244,chumphon,10.3333,98.8333,29.83,45,13,4.39,TH,1707795652
245,mount isa,-20.7333,139.5,33.87,52,75,4.12,AU,1707795652
246,kani keli,-12.9536,45.1033,27.59,78,86,4.45,YT,1707795653
247,bangassou,4.7413,22.8184,21.89,64,5,1.99,CF,1707795653
248,bandarbeyla,9.4942,50.8122,25.97,74,15,4.79,SO,1707795654
249,alofi,-19.0595,-169.9187,28.94,79,75,5.66,NU,1707795655
250,la ferte-mace,48.59,-0.358,2.91,95,100,2.19,FR,1707795655
251,keflavik,64.0049,-22.5624,0.95,86,20,11.32,IS,1707795656
252,kuta,-8.7233,115.1723,30.0,74,20,3.6,ID,1707795657
253,gazojak,41.1875,61.4036,7.06,46,22,4.55,TM,1707795657
254,whangarei,-35.7317,174.3239,22.19,57,32,2.47,NZ,1707795658
255,camrose,53.0168,-112.8353,-6.72,69,26,3.69,CA,1707795658
256,dudinka,69.4058,86.1778,-37.4,99,35,1.79,RU,1707795659
257,flying fish cove,-10.4217,105.6791,28.82,78,100,0.0,CX,1707795659
258,vorgashor,67.5833,63.95,-36.62,100,27,2.22,RU,1707795660
259,enewetak,11.3474,162.3373,26.52,78,96,9.62,MH,1707795660
260,ulanhot,46.0833,122.0833,3.15,39,100,10.71,CN,1707795661
261,poso,-1.3959,120.7524,27.51,69,100,1.18,ID,1707795661
262,chernushka,56.5072,56.0766,-10.31,96,100,3.16,RU,1707795563
263,minas de marcona,-15.2119,-75.1103,19.54,81,24,3.56,PE,1707795663
264,sinop,41.7711,34.8709,9.88,58,100,4.63,TR,1707795663
265,hammerfest,70.6634,23.6821,-5.75,73,98,8.75,NO,1707795417
266,pacocha,-17.5833,-71.3333,22.36,90,80,1.89,PE,1707795664
267,callao,-12.0667,-77.15,25.95,69,0,8.23,PE,1707794943
268,saint-pierre,-21.3393,55.4781,27.82,78,20,2.06,RE,1707795665
